Carimbo de data/hora,Qual seu nome de usuário no servidor Discord Matemática como Hobby?,Qual seu nome de usuário no Instagram?,Qual seu nome de usuário no YouTube?
14/05/2025 11:04:46,Thanone,Sathanone,.danoninho
14/05/2025 11:06:20,@darkhatsu,@lipemali,@felipemalicheski
14/05/2025 11:06:27,Bruno Queiroz | brunogsq ,brunogsq,@gsqbruno
14/05/2025 11:06:33,Pedrim,Pedro Gabriel da Cruz (@_pedro_g_c),Pedro Gabriel da Cruz (@pedrogabrieldacruz3009)
14/05/2025 11:11:25,Ghetti,gabriel_ghetti,Gabriel Ferreira 
14/05/2025 11:14:03,Shaky,_gabrieelgn,SolidShaky
14/05/2025 11:18:02,Kevin caldo de cana,Kdsilva_,@Kevindesousadasilva7699
14/05/2025 11:19:48,"Angelo Ferreira, angelo1529",angelof6_,@angeloferreira2.0
14/05/2025 11:26:08,hb0x,vitormarcis,@cafe._.289
14/05/2025 11:26:28,kauamiguel,Não utilizo instagram :(, @kauamiguel2599
14/05/2025 11:26:31,nicolas321,batalhanicolask ,Nicolasbatalha4909
14/05/2025 11:27:34,banguela,david_banguela,Davi_vitor
14/05/2025 11:41:29,jhoseph074, jose_fernandes_da_silva_filho,Jhoseph (Identificador: @jhxseph )
14/05/2025 11:53:10,little me,eduardo509806,Eduardo Silva2306
14/05/2025 11:56:27,Fernandin ou fernandin1082,fernando_jesusjr ou Fernando Jesus,@fernandojesusbatistajunior2154 ou Fernando Jesus Batista Junior
14/05/2025 11:58:24,Tonietti ( Escola Naval),toni3tti,Tonie3tti
14/05/2025 12:03:38,lucasttravassos,travass.lucas,@lucasttravassos
14/05/2025 12:11:46,#chico5301,lielsodre,@Gabriel-wo3gl
14/05/2025 12:12:28,jeff05875,jefferson.l7,@jeffesonlima7272
14/05/2025 12:12:59,Erlison Albuquerque,@erlison.albuquerque,Erlison Albuquerque
14/05/2025 12:13:13,pilhadaboa,pierrealeph,@eduardoz398
14/05/2025 12:23:46,lucas1991,lucaspirz0,LucasOliveira-zq6cc
14/05/2025 12:25:20,BAHIA,dav1_bahia,@DungaBoss
14/05/2025 12:37:59,Luciomar,lucio_math,lucio.math_82
14/05/2025 12:43:53,Admilson,Admilson.ram0s,Pobre do Cerrado
14/05/2025 12:44:07,M.P,matematicaesuassociologias,ProfessorMatheusLima
14/05/2025 12:51:19,Aquilesgddd,Aquiles Rocha,Psicopato.854
14/05/2025 13:06:26,Luciomar ,@lucio.math,@lucio.math_82
14/05/2025 13:13:38,.kiwii092,j_pedromg,hehe7619
14/05/2025 13:19:40,kawann.n_,kawann_z,kawan-27
14/05/2025 13:20:28,cauabgc,@cbrunogcs,@cauabgc 
14/05/2025 13:21:29,Andredn,dnascimentoandre,André Nascimento 
14/05/2025 13:29:11,pedro.henrii#0000,Eu não uso Instagram mas eu te segui pelo celular do meu irmão. O Instagram é @guih_ftr,pedro-yl5wx
14/05/2025 13:34:35,Moises,guilhermemoises00,@gui2314
14/05/2025 13:59:21,Kendrick Saldanha,Joao.la / João Luís,João luís / @joaoluis9484
14/05/2025 14:06:31,Higor de Oliveira Alves,Higor,Higor 007
14/05/2025 14:14:27,Hendryu (hendryu.),@3691215h,HendRyu (@HendryuF)
14/05/2025 14:22:45,Jalinhabey_,_pedrohenrique_teixeira,Thephagas
14/05/2025 14:38:35,David Juan,djuan_,davidjuan1934
14/05/2025 14:56:17,jp72pm,joaopedropm72,@joaopedropiazza444
14/05/2025 14:57:14,Agiota1237,agustosz_s,carlosstm1609
14/05/2025 15:05:08,pensador_7,gabrielr_menezes,@otalraposa
14/05/2025 15:14:04,cassulacom2s8365,iansouza80,O Enésimo Pombo
14/05/2025 15:21:17,CursE,_mister177,mister1778
14/05/2025 15:45:03,Wrest,vii.tuttii,Wrest_1349
14/05/2025 16:17:08,tonifilho1754 (Toni Filho),antonio_cesar_filho (Antonio Cesar),TheTonicesar (Antonio Cesar)
14/05/2025 16:17:54,"M25 , (m250575)",mauricio_n_macedo,@mauricio-mal7892
14/05/2025 16:21:46,noisy boy(_noisy.boy),marc3_l0,Marcelo-bf6kh
14/05/2025 16:21:56,pedrotz7426,Ridzcurto,Mathfanboy
14/05/2025 16:23:29,Pedrotz7426,Keniaamaronascimento,Mathfanboy
14/05/2025 16:30:55,Levi.007,levi.77_55,Levi92
14/05/2025 16:42:40,hipaso,@bielofcourse,@physicalbiel4947
14/05/2025 16:57:38,Gui1034,gui.hk.sccp,caminhodogui
14/05/2025 17:01:06,Chony10,abilio_chuculia,Abilio Chony
14/05/2025 17:01:52,guilherme sales,guigo2906,Guilherme Sant'Ana da silva sauro
14/05/2025 17:20:57,Renan Saldanha,renan.rsaldanha,ProgeConsultivo
14/05/2025 17:22:25,Hipátia de Alexandre ,bruna.lilian .58,Bruna Lilian 
14/05/2025 17:24:39,Hipátia de Alexandre ,bruna.lilian. 58,bruna Lilian 
14/05/2025 17:25:47,Hipátia de Alexandre ,Bruna.lilian .58,@ brunalilian6513
14/05/2025 17:45:46,stxmendes,stx.mendes7,MendesNS
14/05/2025 17:53:31,ericmaiaandrade,ericmaiaandrade,ericmaia7827
14/05/2025 18:03:27,.so4m ,@ligeirin_dubrt,@Tremdubomrre
14/05/2025 18:05:38,luqinha,lucasventuri_,LUCAS VENTURI
14/05/2025 18:43:30,dissolvido (Bruno ollange),@bruno_ollange,@aler3485
14/05/2025 18:47:47,Mizu (guizeline),ianguizeline,Mizuky
14/05/2025 18:48:44,staan_,choueiri._,qebc
14/05/2025 18:52:00,guikingg,guilhermemarcl,guilhermemarcl
14/05/2025 19:14:48,Marcoosouza,marcoosouza_,@marcosouza8601
14/05/2025 19:17:37,bk223,vitor_amorim_ms,Baconzudo
14/05/2025 19:29:16,Tiburci,@Tiburcianno, Capp - CapivaraPolar
14/05/2025 19:48:35,Yvi,yvipeace,Hevylin Paz
14/05/2025 19:52:38,EstudanteSofrido,@Iker_serpa,@estudantesofrido
14/05/2025 20:40:36,Saika0378,Saikas_z,Erikagabrielle8490
14/05/2025 20:40:43,wladm1r,whdm_,WladmirHenrico
14/05/2025 21:10:12,lucas3968,Lucas_2213, @lucasbarbosa5281
14/05/2025 21:14:42,baconSuperFaturado, dand4niel_,DanielSantos-cr3xc
14/05/2025 21:31:59,Xilef,bielw.a.c,Zenkatsu              (@zenkatsu9634)
14/05/2025 21:35:38,nome do usuario: aqwszxde,samuel_memories_chest,@kkiuzejo2341
14/05/2025 21:44:28,budcartun,gu_boschetti,Gustavo-h2d6m
14/05/2025 21:49:52,pietrogasp3 (Pietro),pietro__eduardo,Pietro E. G. Melo
14/05/2025 21:57:17,NÚMERO 5,@mattsus543,@reviroxi7326  ou REVI ROXI
14/05/2025 22:14:26,julio_cesar_sr,julio_cesar.sr,@JulioCesarSR29
14/05/2025 22:43:55,Gabriel Calenzani ,gabrielcalenzani,gabrieldepiantecalenzani
